date,order_number,order_diff
2018-03-22,35482998,-1310484.0
2018-04-03,35559751,-3033672.0
2018-05-08,36368212,-16150.0
2018-05-13,36408976,-192112.0
2018-05-19,36569135,-174356.0
2018-05-23,8084373,-28765126.0
2018-05-25,36638240,-239838.0
2018-05-29,36689521,-246476.0
2018-06-04,36518046,-590981.0
2018-06-20,37341080,-37833.0
2018-06-25,37164048,-474288.0
2018-07-03,37857755,-19820.0
2018-07-05,37922164,-13688.0
2018-12-13,41695400,-25695.0
2018-12-21,41890198,-8169.0
2019-02-22,43314715,-14024.0
2019-05-25,44783308,-811655.0
2019-05-29,45667022,-62120.0
2019-06-01,44249274,-1548100.0
2019-07-17,9778659,-37270173.0
2019-09-24,1323105,-47462275.0
2019-10-01,48991844,-14796.0
2019-10-20,49409030,-105013.0
2019-11-30,50842459,-12398.0
2019-11-30,50788623,-53836.0
2019-12-03,50869151,-24543.0
2019-12-09,51126190,-3627.0
2019-12-14,51191577,-99165.0
2019-12-16,51247520,-99346.0
2019-12-18,50339142,-1078952.0
2019-12-22,51512565,-2657.0
2020-01-02,51781335,-12006.0
2020-01-27,52523029,-21836.0
2020-02-10,52891121,-24842.0
2020-02-16,53093234,-1908.0
2020-03-10,35144955,-18590270.0
2020-03-14,53768157,-26538.0
2020-03-25,53998042,-1412627.0
2020-04-24,54304846,-425042.0
2020-05-01,54551414,-25243.0
2020-05-03,54677585,-131495.0
2020-05-14,54250951,-426634.0
2020-05-25,55274157,-110114.0
2020-06-01,54295981,-978176.0
2020-06-08,55878070,-1601434.0
2020-06-10,55513831,-364239.0
2020-06-17,56883846,-54389.0
2020-06-21,56849023,-173264.0
2020-06-26,57297338,-57719.0
2020-06-30,57379965,-97239.0
2020-07-03,57535186,-49995.0
2020-07-06,56938809,-710890.0
2020-07-07,57223965,-318082.0
2020-07-11,57016169,-790821.0
2020-07-12,57834398,-2279.0
2020-07-14,57511237,-330560.0
2020-07-16,57846293,-18801.0
2020-07-20,57948242,-238837.0
2020-07-20,47204230,-10744012.0
2020-07-22,57928650,-175212.0
2020-07-29,57795515,-519673.0
2020-08-06,58435706,-95268.0
2020-08-08,58349078,-86628.0
2020-08-12,58702556,-21413.0
2020-08-13,58416105,-286451.0
2020-08-17,42168587,-16674802.0
2020-08-24,58816936,-193549.0
2020-08-25,58966082,-76819.0
2020-09-01,59165061,-24521.0
2020-09-05,59366449,-73295.0
2020-09-05,58235173,-1131276.0
2020-09-13,59441849,-324634.0
2020-09-21,59359232,-939801.0
2020-09-29,60602746,-8926.0
2020-10-05,60647104,-117886.0
2020-10-12,60954626,-47571.0
2020-10-14,60970954,-102064.0
2020-10-26,61148563,-236821.0
2020-11-01,61171638,-227420.0
2020-11-06,61575947,-75776.0
2020-11-25,62145002,-155070.0
2020-11-27,62129082,-422993.0
2020-12-01,62706230,-140185.0
2020-12-06,61398527,-1642518.0
2020-12-17,62576305,-571359.0
2020-12-18,62803937,-454583.0
2020-12-27,63587565,-26462.0
2021-01-15,64019387,-168608.0
2021-01-23,64553152,-195588.0
2021-01-26,63813209,-739943.0
2021-02-19,63950160,-1851303.0
2021-02-24,64508517,-802884.0
2021-03-04,65647272,-495783.0
2021-03-15,5615155,-60651688.0
2021-03-24,66395134,-62810.0
2021-04-06,66899305,-24711.0
2021-04-07,66727619,-171686.0
2021-04-12,66340786,-386833.0
2021-04-20,65757028,-894534.0
2021-04-25,67513913,-109396.0
2021-04-29,67394229,-481230.0
2021-04-29,67219960,-174269.0
2021-04-29,66903334,-968991.0
2021-04-30,66649928,-383208.0
2021-05-04,66696405,-809490.0
2021-05-05,67305404,-827035.0
2021-05-10,67628861,-600110.0
2021-05-12,67761475,-365072.0
2021-05-18,67324437,-437038.0
2021-05-18,66729151,-595286.0
2021-05-26,68370831,-525728.0
2021-05-27,64363734,-4410986.0
2021-05-30,67505384,-195162.0
2021-06-04,67120423,-2133329.0
2021-06-06,68194497,-301950.0
2021-06-07,69054627,-499484.0
2021-06-08,68426023,-628604.0
2021-06-09,69032620,-597422.0
2021-06-11,69557856,-172848.0
2021-06-16,68921128,-737881.0
2021-06-21,66792971,-2980645.0
2021-06-23,68302081,-1539824.0
2021-06-24,69978439,-289211.0
2021-06-29,69952974,-25465.0
2021-07-01,70367637,-178927.0
2021-07-05,70267566,-383627.0
2021-07-06,61308679,-8958887.0
2021-07-16,68468194,-2456231.0
2021-07-17,68156261,-311933.0
2021-07-26,69643794,-1500855.0
2021-07-28,68066073,-1577721.0
2021-08-02,69744082,-1759383.0
2021-08-04,71451768,-143069.0
2021-08-05,71409058,-209346.0
2021-08-07,71622177,-96537.0
2021-08-08,70127118,-1495059.0
2021-08-11,70642349,-1191894.0
2021-08-16,71670414,-236066.0
2021-08-18,71753814,-39267.0
2021-08-20,71041459,-954678.0
2021-08-24,66773983,-5420820.0
2021-08-25,72162614,-84768.0
2021-08-26,72087158,-75456.0
2021-08-28,71572545,-7510004.0
2021-08-29,70545126,-1027419.0
2021-09-01,71394283,-801789.0
2021-09-03,72200032,-361558.0
2021-09-04,71779208,-420824.0
2021-09-06,71377157,-1272541.0
2021-09-08,67954441,-3422716.0
2021-09-09,69821802,-2915840.0
2021-09-13,72221175,-553499.0
2021-09-15,70379005,-1842170.0
2021-09-23,72848071,-310092.0
2021-09-25,72405636,-442435.0
2021-09-29,72670663,-618488.0
2021-10-06,69765072,-3656984.0
2021-10-10,73275919,-361641.0
2021-10-30,73093116,-1175555.0
2021-11-03,73366299,-954651.0
2021-11-07,7261603,-67335108.0
2021-11-10,73181417,-1330636.0
2021-11-11,70635043,-3855906.0
2021-11-13,71404805,-2887280.0
2021-11-15,74647992,-52378.0
2021-11-17,67262148,-7385844.0
2021-11-21,74749825,-266951.0
2021-11-22,73849193,-1233633.0
2021-11-25,74747288,-422506.0
2021-11-27,10390702,-64356586.0
2021-11-28,75223538,-235739.0
2021-11-30,74822810,-400728.0
2021-12-04,75266445,-369855.0
2021-12-08,7722038,-68224983.0
2021-12-13,75210196,-899060.0
2021-12-16,76065804,-115499.0
2021-12-18,75929136,-136668.0
2021-12-20,75268198,-802922.0
2021-12-22,75184522,-149746.0
2021-12-28,63823047,-11695333.0
2021-12-29,5443579,-58379468.0
2022-01-04,76521533,-201427.0
2022-01-07,7405267,-69116266.0
2022-01-09,76542278,-499604.0
2022-01-16,76239671,-754586.0
2022-01-17,75614972,-624699.0
2022-01-24,74398135,-3161626.0
2022-01-25,76918800,-695354.0
2022-01-26,76464269,-454531.0
2022-01-29,4279642,-72184627.0
2022-01-30,77574799,-271805.0
2022-02-07,78060360,-8184.0
2022-02-11,754349,-77306011.0
2022-02-15,77695242,-641326.0
2022-02-18,78144778,-294806.0
2022-02-21,1837190,-76655168.0
2022-02-25,4389757,-74152037.0
2022-03-01,78263309,-522558.0
2022-03-04,628634,-77634675.0
2022-03-08,78078718,-933871.0
2022-03-11,79095859,-15122.0
2022-03-12,77206836,-1889023.0
2022-03-16,79053702,-229065.0
2022-03-21,78942251,-497407.0
2022-03-26,78957804,-626934.0
2022-03-28,80288,-79602699.0
2022-03-30,79597960,-133453.0
2022-04-02,4449230,-75358452.0
2022-04-04,73242872,-6361335.0
2022-04-06,79692703,-258356.0
2022-04-07,37971290,-42103275.0
2022-04-10,80073891,-73862.0
2022-04-15,80115307,-176815.0
2022-04-17,79208916,-920388.0
2022-04-21,80010988,-458500.0
2022-04-22,78270297,-2285474.0
2022-04-24,11337408,-69249743.0
2022-06-28,82632637,-355201.0
